Category,Sl.No.,Ministry/Department,Scheme,"Actuals 2021-2022 Revenue
",Actuals 2021-2022 Capital,Actuals 2021-2022 Total,Budget Estimates 2022-2023 Revenue,Budget Estimates 2022-2023 Capital,Budget Estimates 2022-2023 Total,Revised Estimates2022-2023 Revenue,Revised Estimates 2022-2023 Revenue,Revised Estimates2022-2023 Total,Budget Estimates2023-2024 Revenue,Budget Estimates2023-2024 Capital,Budget Estimates2023-2024 Total
Demand No. 46,369,Department of Health and Family Welfare,COVID -19 Emergency Response and Health System Preparedness Package - EAP,430.68,215.59,646.27,0,0,0,1.78,0,1.78,1.78,0,1.78
Demand No. 46,370,Department of Health and Family Welfare,National Digital Health Mission - NHM,27.81,0,27.81,200,0,200,140,0,140,341.02,0,341.02
Demand No. 47,371,Department of Health Research,Setting up of nation wide network of laboratories for managing epidemics and national calamities,75.79,0,75.79,82,0,82,70,0,70,60,0,60
Demand No. 47,372,Department of Health Research,Development of Infrastructure for Promotion of Health Research,57.61,0,57.61,80,0,80,67,0,67,80,0,80
Demand No. 47,373,Department of Health Research,Development of tools/support to prevent outbreaks of epidemics,14.8,0,14.8,15,0,15,15,0,15,10,0,10
Demand No. 47,374,Department of Health Research,Human Resource and Capacity Development,59.9,0,59.9,87.65,0,87.65,84.65,0,84.65,92.06,0,92.06
Demand No. 47,375,Department of Health Research,COVID-19 Emergency Response and Health System Preparedness Package-EAP,489.24,0,489.24,0,0,0,0,0,0,0,0,0
Demand No. 47,376,Department of Health Research,Prime Minister's Ayushman Bharat Health Infrastructure Mission (PM-ABHIM)-Bio Security Preparedness and strengthening Pandemic Research and Multi Sector and National Institutions and Platform for One Health,116,0,116,690,0,690,378.27,0,378.27,324.36,0,324.36
Demand No. 48,377,Ministry of Heavy Industries,Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).,800,0,800,2908.28,0,2908.28,2897.84,0,2897.84,5171.97,0,5171.97
Demand No. 48,378,Ministry of Heavy Industries,Development Council for Automobile and Allied Industries,4.7,17,21.7,5,23.62,28.62,5,0,5,0,0,0
Demand No. 48,379,Ministry of Heavy Industries,Production Linked Incentive (PLI) Scheme for Automobiles and Auto Components,0,0,0,3,0,3,10.74,0,10.74,604,0,604
Demand No. 48,380,Ministry of Heavy Industries,Production Linked Incentive (PLI) Scheme for National Programme on Advanced Chemistry Cell (ACC) Battery Storage,0,0,0,3,0,3,0.9,0,0.9,1,0,1
Demand No. 48,381,Ministry of Heavy Industries,Enhancement of Competitiveness in the Indian Capital Goods Sector,28.94,0,28.94,200,0,200,199.6,0,199.6,250,0,250
Demand No. 48,382,Ministry of Heavy Industries,Industry Associations and PSUs for undertaking promotional activities,0.05,0,0.05,0.25,0,0.25,0,0,0,0,0,0
Demand No. 49,383,Ministry of Home Affairs,Relief and Rehabilitation for migrants and repatriates,352.33,0,352.33,299.76,0,299.76,383.42,0,383.42,301.61,0,301.61
Demand No. 49,384,Ministry of Home Affairs,Freedom Fighters (pension and other benefits),729.2,0,729.2,688.14,0,688.14,654.95,0,654.95,653.08,0,653.08
Demand No. 49,385,Ministry of Home Affairs,Helicopter Services,101.06,0,101.06,116,0,116,111,0,111,126,0,126
Demand No. 49,386,Ministry of Home Affairs,Infrastructure for Disaster Management,0,127.64,127.64,NA,86.04,86.04,0,92.12,92.12,0,141.73,141.73
Demand No. 49,387,Ministry of Home Affairs,National Cyclone Risk Mitigation Project,169.99,0,169.99,300,0,300,0,0,0,0,0,0
Demand No. 49,388,Ministry of Home Affairs,Other Disaster Management Schemes,238.11,0,238.11,106.74,0,106.74,105.74,0,105.74,251.92,0,251.92
Demand No. 49,389,Ministry of Home Affairs,Civic Action Programme and Media Plan,23.94,0,23.94,25,0,25,15,0,15,30,0,30
Demand No. 51,390,Police,"IVFRT (Immigration, Visa and Foreigners Registration and Tracking)",148.39,0,148.39,175,0,175,175,0,175,229.25,0,229.25
Demand No. 51,391,Police,"BSF Air Wing, Aircrafts, River Boats and Helibase",19.47,67.41,86.88,30.74,126.59,157.33,16.56,43.12,59.68,21.69,56.49,78.18
Demand No. 51,392,Police,Border Infrastructure and Management,284.37,2377.74,2662.11,227.5,2517.02,2744.52,267.64,3471.34,3738.98,350.61,3194.42,3545.03
Demand No. 51,393,Police,Police Infrastructure,0,2838.83,2838.83,NA,3918.84,3918.84,0,2188.38,2188.38,0,3636.66,3636.66
Demand No. 51,394,Police,Narcotics Control Bureau,1.19,0,1.19,5,0,5,0,0,0,0,0,0
Demand No. 51,395,Police,Schemes for Safety of Women,100.02,-0.02,100,200,0,200,136.13,0,136.13,321,0,321
Demand No. 51,396,Police,Indian Cyber Crime Coordination Centre,1.11,0,1.11,59,0,59,25,0,25,94.4,0,94.4
Demand No. 51,397,Police,Modernization Plan IV for Central Armed Police Forces,7.6,23.32,30.92,43.2,205.1,248.3,24.21,130.19,154.4,31.72,170.55,202.27
Demand No. 51,398,Police,Inter Operable Criminal Justice System,0,0,0,590.6,0,590.6,105.2,0,105.2,590.6,0,590.6
Demand No. 51,399,Police,Emergency Response Support System,0,0,0,150,0,150,0,0,0,0,0,0
Demand No. 51,400,Police,Modernization of Prisons,50,0,50,400,0,400,100,0,100,250,0,250
Demand No. 51,401,Police,Women Help Desk /Strengthening of Anti Human Trafficking Bureau,0,0,0,28,0,28,0,0,0,0,0,0
Demand No. 51,402,Police,Modernization of Forensic Capacities,0,0,0,300,0,300,0,0,0,0,0,0
Demand No. 60,403,Ministry of Housing and Urban Affairs,Metro Projects,0,23262,23262,NA,19130,19130,0,15628.88,15628.88,0,19518,19518
Demand No. 60,404,Ministry of Housing and Urban Affairs,Kochi Metro Rail Project Phase 1 A,0,0,0,0,0,0,46.74,0,46.74,0,0,0
Demand No. 60,405,Ministry of Housing and Urban Affairs,Transport Planning and Capacity Building in Urban Transport,23.33,0,23.33,35,0,35,15.46,0,15.46,61.01,0,61.01
Demand No. 60,406,Ministry of Housing and Urban Affairs,National Capital Region Transport Corporation,188,0,188,88,4622,4710,88,4622,4710,58,3538,3596
Demand No. 60,407,Ministry of Housing and Urban Affairs,Residential,1394.5,816.32,2210.82,NA,873.02,873.02,0,1029.93,1029.93,0,667.33,667.33
Demand No. 60,408,Ministry of Housing and Urban Affairs,Non-residential,867.21,1818.58,2685.79,NA,2600.99,2600.99,0,2344.08,2344.08,0,2132.62,2132.62
Demand No. 60,409,Ministry of Housing and Urban Affairs,North Eastern Regional Urban Development Project (NERUDP),98.03,0,98.03,0,0,0,0,0,0,0,0,0
Demand No. 60,410,Ministry of Housing and Urban Affairs,Champion Services Sector Scheme - Nirman Kaushal Vikash Yojana,0,0,0,0.01,0,0.01,0,0,0,0,0,0
Demand No. 60,411,Ministry of Housing and Urban Affairs,Prime Minister's Street Vendors' Atmanirbhar Nidhi (PM SVANIDHI),297.82,0,297.82,150,0,150,433.94,0,433.94,468,0,468
Demand No. 60,412,Ministry of Housing and Urban Affairs,Public Health Engineering (PHE) Sector Development Scheme,1.66,0,1.66,2,0,2,2,0,2,2,0,2
Demand No. 61,413,Ministry of Information and Broadcasting,Prasar Bharati,161.68,0,161.68,315,0,315,315,0,315,0,0,0
Demand No. 61,414,Ministry of Information and Broadcasting,Information,211.21,0,211.21,184,0,184,194,0,194,0,0,0
Demand No. 61,415,Ministry of Information and Broadcasting,Films,56.76,21.09,77.85,101.51,25.65,127.16,101.35,25.65,127,0,0,0
Demand No. 61,416,Ministry of Information and Broadcasting,Strengthening of Broadcasting Activities,1.92,0,1.92,3.84,0,3.84,3,0,3,0,0,0
Demand No. 61,417,Ministry of Information and Broadcasting,Broadcasting Infrastructure Network Development,0,0,0,0,0,0,0,0,0,600,0,600
Demand No. 61,418,Ministry of Information and Broadcasting,Development Communication and Dissemination of Filmic Content,0,0,0,0,0,0,0,0,0,274.24,25.76,300
Demand No. 61,419,Ministry of Information and Broadcasting,Development Communication and Information Dissemination,0,0,0,0,0,0,0,0,0,200,0,200
Demand No. 61,420,Ministry of Information and Broadcasting,Supporting Community Radio Movement in India,0,0,0,0,0,0,0,0,0,5,0,5
Demand No. 62,421,"Department of Water Resources, River Development and Ganga Rejuvenation",Farakka Barrage Project,-22.53,24.36,1.83,44.24,66.74,110.98,16.68,29.3,45.98,24.84,31.14,55.98
Demand No. 62,422,"Department of Water Resources, River Development and Ganga Rejuvenation",Dam Rehabilitation and Improvement Programme,18.92,4.08,23,95.6,4.4,100,20.72,4.28,25,49.76,0.24,50
Demand No. 62,423,"Department of Water Resources, River Development and Ganga Rejuvenation",National Ganga Plan and Ghat Works,1394.03,0,1394.03,0,0,0,0,0,0,0,0,0
Demand No. 62,424,"Department of Water Resources, River Development and Ganga Rejuvenation",National Ganga Plan,0,0,0,2800,0,2800,2500,0,2500,4000,0,4000
Demand No. 62,425,"Department of Water Resources, River Development and Ganga Rejuvenation",National River Conservation Plan,498.67,0,498.67,0,0,0,0,0,0,0,0,0
Demand No. 62,426,"Department of Water Resources, River Development and Ganga Rejuvenation",River Basin Management,168.14,0.17,168.31,96.68,0.32,97,101.48,0.16,101.64,107.12,2.88,110
Demand No. 62,427,"Department of Water Resources, River Development and Ganga Rejuvenation",Development of Water Resources Information System,130.28,24.95,155.23,162.28,22.72,185,128.5,11.5,140,149.43,12.7,162.13
Demand No. 62,428,"Department of Water Resources, River Development and Ganga Rejuvenation",Ground Water Management and Regulation,79.94,89.05,168.99,128.03,246.97,375,125,190,315,106.22,223.78,330
Demand No. 62,429,"Department of Water Resources, River Development and Ganga Rejuvenation",National Hydrology Project,371.41,17.33,388.74,758.4,41.6,800,487.51,25,512.51,461.8,38.2,500
Demand No. 62,430,"Department of Water Resources, River Development and Ganga Rejuvenation",Research and Development and Implementation of National Water Mission,26.34,4.45,30.79,41.65,11.23,52.88,28.15,6.85,35,38.58,11.42,50
Demand No. 62,431,"Department of Water Resources, River Development and Ganga Rejuvenation",HRD/Capacity Building Programme,4.57,0.03,4.6,0,0,0,0,0,0,0,0,0
Demand No. 62,432,"Department of Water Resources, River Development and Ganga Rejuvenation",Infrastructure Development,0,5.06,5.06,0,0,0,0,0,0,0,0,0
Demand No. 62,433,"Department of Water Resources, River Development and Ganga Rejuvenation",Atal Bhujal Yojna,0,0,0,700,0,700,700,0,700,1000,0,1000
Demand No. 64,434,Ministry of Labour and Employment,Labour and Employment Statistical System (LESS),39.98,0,39.98,89,0,89,80,0,80,110,0,110
Demand No. 64,435,Ministry of Labour and Employment,Labour Welfare Scheme,63.87,0.35,64.22,120,0,120,120,0,120,75,0,75
Demand No. 64,436,Ministry of Labour and Employment,Bima Yojana for Unorganised Workers,0,0,0,0.1,0,0.1,0.01,0,0.01,0,0,0
Demand No. 64,437,Ministry of Labour and Employment,"Employees Pension Scheme, 1995",18478.33,0,18478.33,8485,0,8485,8485,0,8485,9167,0,9167
Demand No. 64,438,Ministry of Labour and Employment,Social Security for Plantation Workers in Assam,50,0,50,60,0,60,60,0,60,60,0,60
Demand No. 64,439,Ministry of Labour and Employment,Pradhan Mantri Shram Yogi Maandhan,324.23,0,324.23,350,0,350,350,0,350,350,0,350
Demand No. 64,440,Ministry of Labour and Employment,Pradhan Mantri Karam Yogi Maandhan,0.24,0,0.24,50,0,50,10,0,10,3,0,3
Demand No. 64,441,Ministry of Labour and Employment,Aatmanirbhar Bharat Rojgar Yojana,3930.61,0,3930.61,6400,0,6400,5758.06,0,5758.06,2272.82,0,2272.82
Demand No. 64,442,Ministry of Labour and Employment,National database for Unorganized Workers,255.24,0,255.24,500,0,500,400,0,400,300,0,300
Demand No. 64,443,Ministry of Labour and Employment,National Child Labour Project including grants in aid to voluntary agencies and reimbursement of assistance to bonded labour,22.14,0,22.14,30,0,30,30,0,30,20,0,20
Demand No. 64,444,Ministry of Labour and Employment,"Coaching and Guidance for SC,ST and Other Backward Classes",0,0,0,0,0,0,0,0,0,24.5,0.5,25
Demand No. 64,445,Ministry of Labour and Employment,National Career Services,0,0,0,0,0,0,0,0,0,52,0,52
Demand No. 65,446,Law and Justice,Designing Innovative Solutions for Holistic Access to Justice in India(DISHA),39.96,0,39.96,40,0,40,48.15,0,48.15,40,0,40
Demand No. 65,447,Law and Justice,e-Courts Phase II,98.29,0,98.29,0,0,0,0,0,0,0,0,0
Demand No. 65,448,Law and Justice,e-Courts Phase III,0,0,0,1,0,1,0.01,0,0.01,0.01,0,0.01
Demand No. 68,449,"Ministry of Micro, Small and Medium Enterprises",Khadi Grant (KG),374.25,0,374.25,0,0,0,0,0,0,0,0,0
Demand No. 68,450,"Ministry of Micro, Small and Medium Enterprises",Scheme for Fund for Regeneration of Traditional Industries (SFURTI),372.37,0,372.37,334,0,334,1.95,0,1.95,280,0,280
Demand No. 68,451,"Ministry of Micro, Small and Medium Enterprises",Coir Vikas Yojana,79.81,0,79.81,80,0,80,87.14,0,87.14,92,0,92
Demand No. 68,452,"Ministry of Micro, Small and Medium Enterprises",Solar Charkha Mission,0,0,0,5.04,0,5.04,0,0,0,0,0,0
Demand No. 68,453,"Ministry of Micro, Small and Medium Enterprises",Khadi Vikas Yojana,305.53,0,305.53,0,0,0,0,0,0,0,0,0
Demand No. 68,454,"Ministry of Micro, Small and Medium Enterprises",Gramodyog Vikas Yojana,56.63,0,56.63,0,0,0,0,0,0,0,0,0
Demand No. 68,455,"Ministry of Micro, Small and Medium Enterprises",Khadi Gramodyog Vikas Yojana,0,0,0,748.99,0,748.99,735.86,0,735.86,917,0,917
Demand No. 68,456,"Ministry of Micro, Small and Medium Enterprises","ASPIRE (Promotion of Innovation, Rural Industry and Entrepreneurship)",8.64,0,8.64,20,0,20,4,0,4,22.23,0,22.23
Demand No. 68,457,"Ministry of Micro, Small and Medium Enterprises",Credit Linked Capital Subsidy and Technology Upgradation Scheme,112.61,0,112.61,0,0,0,0,0,0,0,0,0
Demand No. 68,458,"Ministry of Micro, Small and Medium Enterprises",MSME Champions Scheme,875,0,875,60.72,0,60.72,51.81,0,51.81,52.72,0,52.72
Demand No. 68,459,"Ministry of Micro, Small and Medium Enterprises",Prime Minister Employment Generation Programme (PMEGP),2889.37,0,2889.37,2500,0,2500,2484.01,0,2484.01,2700,0,2700
Demand No. 68,460,"Ministry of Micro, Small and Medium Enterprises",Credit Support Programme,1680,0,1680,0.08,0,0.08,0.08,0,0.08,500.08,0,500.08
Demand No. 68,461,"Ministry of Micro, Small and Medium Enterprises",Interest Subvention Scheme for Incremental Credit to MSMEs,0,0,0,0.04,0,0.04,0,0,0,0,0,0
Demand No. 68,462,"Ministry of Micro, Small and Medium Enterprises",Distressed Assets Fund,0,0,0,100,0,100,0.04,0,0.04,0.04,0,0.04
Demand No. 68,463,"Ministry of Micro, Small and Medium Enterprises",Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers,7445,0,7445,15000,0,15000,10500,0,10500,14100,0,14100
Demand No. 68,464,"Ministry of Micro, Small and Medium Enterprises",Credit Linked Capital Subsidy (CLCS),0,0,0,0,0,0,0,0,0,1.06,0,1.06
Demand No. 68,465,"Ministry of Micro, Small and Medium Enterprises",Procurement and Marketing Support Scheme,5.17,0,5.17,24.96,0,24.96,40,0,40,96.35,0,96.35
Demand No. 68,466,"Ministry of Micro, Small and Medium Enterprises",International Cooperation Scheme,3.25,0,3.25,13,0,13,12,0,12,0,0,0
Demand No. 68,467,"Ministry of Micro, Small and Medium Enterprises","Studies, Publicity & International Cooperation (SPIC)",0,0,0,0,0,0,0,0,0,36.07,0,36.07
Demand No. 68,468,"Ministry of Micro, Small and Medium Enterprises",Mahatma Gandhi Institute for Rural Industrialisation,7.5,0,7.5,10.41,0,10.41,8.5,0,8.5,0,0,0
Demand No. 68,469,"Ministry of Micro, Small and Medium Enterprises",Promotional Services Institutions and Programme,130.66,0,130.66,182.82,0,182.82,185.62,0,185.62,0,0,0
Demand No. 68,470,"Ministry of Micro, Small and Medium Enterprises","Information, Education and Communication",2.94,0,2.94,6.76,0,6.76,4,0,4,0,0,0
Demand No. 68,471,"Ministry of Micro, Small and Medium Enterprises",Assistance to Training Institutions,47.96,0,47.96,32,0,32,22,0,22,30,0,30
Demand No. 68,472,"Ministry of Micro, Small and Medium Enterprises",Fund of Funds,0,180.35,180.35,NA,486,486,0,439.4,439.4,0,575,575
Demand No. 68,473,"Ministry of Micro, Small and Medium Enterprises",Entrepreneurship cum Skill Development Programme (ESDP),0,0,0,0,0,0,0,0,0,80,0,80
Demand No. 68,474,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building,244.49,0,244.49,0,0,0,0,0,0,0,0,0
Demand No. 68,475,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building.,0,0,0,568.03,20,588.03,289,0,289,0,0,0
Demand No. 68,476,"Ministry of Micro, Small and Medium Enterprises",Establishment of New Technology Centres,24.58,0,24.58,80,0,80,10,0,10,450,0,450
Demand No. 68,477,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building- EAP Component,144.76,0,144.76,0,0,0,0,0,0,0,0,0
Demand No. 68,478,"Ministry of Micro, Small and Medium Enterprises",Technology Centre Systems Programme (TCSP) EAP,0,0,0,205,0,205,124,0,124,350,0,350
Demand No. 68,479,"Ministry of Micro, Small and Medium Enterprises",Construction of Office Accomodation- Capital Outlay on Public Works,0,12.21,12.21,0,0,0,0,18,18,0,0,0
Demand No. 68,480,"Ministry of Micro, Small and Medium Enterprises",Raising and Accelerating MSME Performance - RAMP,0,0,0,723,0,723,455.01,0,455.01,1170,0,1170
Demand No. 68,481,"Ministry of Micro, Small and Medium Enterprises",Micro and Small Enterprise-Cluster Development Programme (MSE-CDP),0,0,0,0,0,0,0,0,0,150,0,150
Demand No. 68,482,"Ministry of Micro, Small and Medium Enterprises",Tool Rooms & Technical Institutions (TR/TIs),0,0,0,0,0,0,0,0,0,100,0,100
Demand No. 68,483,"Ministry of Micro, Small and Medium Enterprises",Promotion of MSMEs in NER and Sikkim,0,0,0,0,0,0,0,0,0,50,0,50
Demand No. 68,484,"Ministry of Micro, Small and Medium Enterprises",Database Research Evaluation and Other Office Support Programme,0.24,0,0.24,2,0,2,2,0,2,0,0,0
Demand No. 68,485,"Ministry of Micro, Small and Medium Enterprises","Survey, Studies and Policy Research",1.95,0,1.95,5,0,5,1.55,0,1.55,0,0,0
Demand No. 68,486,"Ministry of Micro, Small and Medium Enterprises",National Schedule Caste/Schedule Tribe Hub Centre,101.87,0,101.87,150,0,150,90,0,90,100,0,100
Demand No. 70,487,Ministry of Minority Affairs,Quami Waqf Board Taraqqiati Scheme and Sahari Waqf Sampati Vikas Yojna,7.72,0,7.72,15,0,15,15,0,15,17,0,17
Demand No. 70,488,Ministry of Minority Affairs,Education  Empowerment,2249.9,0,2249.9,2515,0,2515,1584.49,0,1584.49,1689,0,1689
Demand No. 70,489,Ministry of Minority Affairs,Skill  Development and Livelihoods,399.01,100,499.01,332.91,159,491.91,171,159,330,3.4,61,64.4
Demand No. 70,490,Ministry of Minority Affairs,Special  Programmes of Minorities,21.84,0,21.84,53,0,53,32,0,32,26.1,0,26.1
Demand No. 70,491,Ministry of Minority Affairs,PM-Viraasat Ka Samvardhan (PM VIKAS),0,0,0,NA,0,0,0,0,0,540,0,540
Demand No. 71,492,Ministry of New and Renewable Energy,Solar Power (Off-Grid),160.24,0,160.24,61.5,0,61.5,61.5,0,61.5,361.5,0,361.5
Demand No. 71,493,Ministry of New and Renewable Energy,Other Renewable Energy Applications (OREA),0.06,0,0.06,0.1,0,0.1,0.1,0,0.1,0,0,0
Demand No. 71,494,Ministry of New and Renewable Energy,Interest Payment and Issuing Expenses on the Bonds,124.35,0,124.35,124.36,0,124.36,124.35,0,124.35,0,0,0
Demand No. 71,495,Ministry of New and Renewable Energy,Hydro Power (Grid),27.73,0,27.73,50,0,50,20,0,20,30,0,30
Demand No. 71,496,Ministry of New and Renewable Energy,Hydro Power (Off-Grid),0.28,0,0.28,2,0,2,1,0,1,1,0,1
Demand No. 71,497,Ministry of New and Renewable Energy,Green Energy Corridor,134.67,0,134.67,300,0,300,250,0,250,500,0,500
Demand No. 71,498,Ministry of New and Renewable Energy,Bio Energy Programme,0,0,0,0,0,0,0,0,0,381.85,0,381.85
Demand No. 71,499,Ministry of New and Renewable Energy,Support Programme,0,0,0,0,0,0,0,0,0,123,0,123
Demand No. 71,500,Ministry of New and Renewable Energy,Kisan Urja Suraksha evam Utthaan Mahabhiyan (KUSUM ),406.04,0,406.04,1715.9,0,1715.9,1325,0,1325,1996.46,0,1996.46
Demand No. 71,501,Ministry of New and Renewable Energy,National Green Hydrogen Mission,0,0,0,0.01,0,0.01,0.01,0,0.01,297,0,297
Demand No. 71,502,Ministry of New and Renewable Energy,Solar Power (Grid),2042.22,0,2042.22,3304.03,0,3304.03,3469.61,0,3469.61,4970,0,4970
Demand No. 71,503,Ministry of New and Renewable Energy,Wind Power (Grid),1100,0,1100,1050,0,1050,1413,0,1413,1214,0,1214
Demand No. 71,504,Ministry of New and Renewable Energy,Bio Power (Grid),53.45,0,53.45,50,0,50,52.46,0,52.46,0,0,0
Demand No. 71,505,Ministry of New and Renewable Energy,Bio Power (Off-Grid),36.44,0,36.44,20,0,20,12,0,12,0,0,0
Demand No. 71,506,Ministry of New and Renewable Energy,Biogas Programme (Off-Grid),7.28,0,7.28,30,0,30,20,0,20,0,0,0
Demand No. 71,507,Ministry of New and Renewable Energy,Monitoring and Evaluation,0,0,0,0.1,0,0.1,0.01,0,0.01,0,0,0
Demand No. 71,508,Ministry of New and Renewable Energy,Information and Public Advertising (I&PA),0.57,0,0.57,6,0,6,3,0,3,0,0,0
Demand No. 71,509,Ministry of New and Renewable Energy,Human Resources Development and Training,20.01,0,20.01,30.93,0,30.93,20.01,0,20.01,0,0,0
Demand No. 71,510,Ministry of New and Renewable Energy,International Relations,3.2,0,3.2,8,0,8,3.2,0,3.2,0,0,0
Demand No. 71,511,Ministry of New and Renewable Energy,Research and Development,26.92,0,26.92,35,0,35,45,0,45,0,0,0
Demand No. 72,512,Ministry of Panchayati Raj,Action Research,0,0,0,3,0,3,0,0,0,0,0,0
Demand No. 72,513,Ministry of Panchayati Raj,International Contribution,0,0,0,0.2,0,0.2,0,0,0,0,0,0
Demand No. 72,514,Ministry of Panchayati Raj,Media and Publicity,0,0,0,10,0,10,0,0,0,0,0,0
Demand No. 72,515,Ministry of Panchayati Raj,Svamitva,139.99,0,139.99,150,0,150,105,0,105,55.46,20.54,76
Demand No. 74,516,"Ministry of Personnel, Public Grievances and Pensions",Training Schemes,40.29,63.03,103.32,132.41,78.34,210.75,105.68,78.34,184.02,34.02,41.79,75.81
Demand No. 74,517,"Ministry of Personnel, Public Grievances and Pensions",National Programme for Civil Services Capacity Building,0,0,0,0,0,0,0,0,0,95.32,10.37,105.69
Demand No. 74,518,"Ministry of Personnel, Public Grievances and Pensions",Administrative Reforms and Pensioners' Scheme,17.32,0,17.32,44.25,0,44.25,45.23,0,45.23,0,0,0
Demand No. 74,519,"Ministry of Personnel, Public Grievances and Pensions",Scheme for Administrative Reforms,0,0,0,0,0,0,0,0,0,21.75,0,21.75
Demand No. 74,520,"Ministry of Personnel, Public Grievances and Pensions",Pensioner's Portal,0,0,0,0,0,0,0,0,0,3.5,0,3.5
Demand No. 74,521,"Ministry of Personnel, Public Grievances and Pensions",Integrated Building for Institute of Secretariat Training and Management (ISTM) and other Institute of Department of Personnel and Training (DoPT),0,0,0,0,0,0,0,0,0,0,20,20
Demand No. 76,522,Ministry of Petroleum and Natural Gas,Payment of differential royalty to State Governments,0.88,0,0.88,1.11,0,1.11,1.11,0,1.11,0,0,0
Demand No. 76,523,Ministry of Petroleum and Natural Gas,Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Cavems),0,210,210,NA,600,600,0,40.01,40.01,0,508,508
Demand No. 76,524,Ministry of Petroleum and Natural Gas,Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve,0,0,0,0,0,0,0,0,0,0,5000,5000
Demand No. 76,525,Ministry of Petroleum and Natural Gas,Payment to ISPRL for Strategic Crude Oil Reserve (O and M),129.49,0,129.49,210.58,0,210.58,178.87,0,178.87,202.81,0,202.81
Demand No. 76,526,Ministry of Petroleum and Natural Gas,Pradhan Mantri JI-VAN Yojna,151.5,0,151.5,314.36,0,314.36,83.34,0,83.34,227.26,0,227.26
Demand No. 76,527,Ministry of Petroleum and Natural Gas,National Bio-Fuel Fund,0,0,0,1,0,1,0.01,0,0.01,0,0,0
Demand No. 76,528,Ministry of Petroleum and Natural Gas,Direct Benefit Transfer - LPG,177.06,0,177.06,4000,0,4000,180,0,180,180,0,180
Demand No. 76,529,Ministry of Petroleum and Natural Gas,LPG Connection to Poor Households,1568.44,0,1568.44,800,0,800,8010,0,8010,0.01,0,0.01
Demand No. 76,530,Ministry of Petroleum and Natural Gas,Other subsidy payable including for North Eastern Region,391,0,391,811,0,811,811,0,811,1633.02,0,1633.02
Demand No. 76,531,Ministry of Petroleum and Natural Gas,Feedstock Subsidy to BCPL/Assam Gas Cracker Complex,1042.92,0,1042.92,137.5,0,137.5,137.5,0,137.5,392.06,0,392.06
Demand No. 76,532,Ministry of Petroleum and Natural Gas,Project Management Expenditure,241.65,0,241.65,64,0,64,32,0,32,52,0,52
Demand No. 76,533,Ministry of Petroleum and Natural Gas,Direct  Benefit Transfer- Kerosene,1.53,0,1.53,0,0,0,0,0,0,0,0,0
Demand No. 76,534,Ministry of Petroleum and Natural Gas,Phulpur Dhamra Haldia Pipeline Project,589.55,0,589.55,0,0,0,0,0,0,0,0,0
Demand No. 76,535,Ministry of Petroleum and Natural Gas,National Seismic Programme,0,137.31,137.31,0,0,0,0,0,0,0,0,0
Demand No. 76,536,Ministry of Petroleum and Natural Gas,Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid,850,0,850,1798.27,0,1798.27,1798.27,0,1798.27,1800,0,1800
Demand No. 76,537,Ministry of Petroleum and Natural Gas,Numaligarh Refinery Expansion Project,0,0,0,NA,0,0,245,0,245,500,0,500
Demand No. 76,538,Ministry of Petroleum and Natural Gas,One-time Grant to PSU OMCs for under recoveries in Domestic LPG,0,0,0,0,0,0,22000,0,22000,0,0,0
Demand No. 76,539,Ministry of Petroleum and Natural Gas,Capital Support to Oil Marketing Companies,0,0,0,0,0,0,0,0,0,0,30000,30000
Demand No. 76,540,Ministry of Petroleum and Natural Gas,Scheme for promotion of flagging of merchant ships in India,0,0,0,0,0,0,215.62,0,215.62,290.44,0,290.44
Demand No. 77,541,Ministry of Planning,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU),341.96,0,341.96,145.31,10,155.31,323.21,20,343.21,144.3,10.7,155
Demand No. 77,542,Ministry of Planning,Ongoing Programme and Schemes,584.39,0,584.39,6,0.75,6.75,4,0.3,4.3,4,0,4
Demand No. 77,543,Ministry of Planning,Official Development Assistance for Sustainable Development Goals (EAP Component),0,0,0,0.01,0,0.01,500,0,500,433,0,433
Demand No. 77,544,Ministry of Planning,State Support Mission,0,0,0,0,0,0,0.5,0,0.5,39.7,0.3,40
Demand No. 78,545,"Ministry of Ports, Shipping and Waterways",Research and Development (Ports),1,0,1,1,0,1,1,0,1,1.03,0,1.03
Demand No. 78,546,"Ministry of Ports, Shipping and Waterways",Sagarmala,355.56,100,455.56,412.79,0,412.79,388.57,124.22,512.79,320,130,450
Demand No. 78,547,"Ministry of Ports, Shipping and Waterways","Assistance to Ship Building, Research and Development",104.91,0,104.91,112,0,112,104,0,104,112,0,112
Demand No. 78,548,"Ministry of Ports, Shipping and Waterways",Grants to Inland Water Transport Authority of India,4.14,0,4.14,20,0,20,10,0,10,15,0,15
